driverRef,forename,surname,dob,nationality_x
hill,Graham,Hill,1929-02-15,British
bonnier,Jo,Bonnier,1930-01-31,Swedish
lovely,Pete,Lovely,1926-04-11,American
jack_brabham,Jack,Brabham,1926-04-02,Australian
mclaren,Bruce,McLaren,1937-08-30,New Zealander
gurney,Dan,Gurney,1931-04-13,American
bianchi,Lucien,Bianchi,1934-11-10,Belgian
parkes,Mike,Parkes,1931-09-24,British
trevor_taylor,Trevor,Taylor,1936-12-26,British
phil_hill,Phil,Hill,1927-04-20,American
ireland,Innes,Ireland,1930-06-12,British
gregory,Masten,Gregory,1932-02-29,American
trintignant,Maurice,Trintignant,1917-10-30,French
andre_pilette,André,Pilette,1918-10-06,Belgian
beaufort,Carel Godin,de Beaufort,1934-04-10,Dutch
barth,Edgar,Barth,1917-01-26,German
cabral,Mário de Araújo,Cabral,1934-01-15,Portuguese
burgess,Ian,Burgess,1930-07-06,British
parnell,Tim,Parnell,1932-06-25,British
ward,Rodger,Ward,1921-01-10,American
seidel,Wolfgang,Seidel,1926-07-04,German
salvadori,Roy,Salvadori,1922-05-12,British
marsh,Tony,Marsh,1931-07-20,British
davis,Colin,Davis,1933-07-29,British
greene,Keith,Greene,1938-01-05,British
moss,Stirling,Moss,1929-09-17,British
trips,Wolfgang,von Trips,1928-05-04,German
allison,Cliff,Allison,1932-02-08,British
herrmann,Hans,Herrmann,1928-02-23,German
brooks,Tony,Brooks,1932-02-25,British
henry_taylor,Henry,Taylor,1932-12-16,British
gendebien,Olivier,Gendebien,1924-01-12,Belgian
scarlatti,Giorgio,Scarlatti,1921-10-02,Italian
naylor,Brian,Naylor,1923-03-24,British
fairman,Jack,Fairman,1913-03-15,British
menditeguy,Carlos,Menditeguy,1914-08-10,Argentine
gonzalez,José Froilán,González,1922-10-05,Argentine
schell,Harry,Schell,1921-06-29,American
stacey,Alan,Stacey,1933-08-29,British
bristow,Chris,Bristow,1937-12-02,British
halford,Bruce,Halford,1931-05-18,British
rathmann,Jim,Rathmann,1928-07-16,American
goldsmith,Paul,Goldsmith,1925-10-02,American
branson,Don,Branson,1920-06-02,American
thomson,Johnny,Thomson,1922-04-09,American
johnson,Eddie,Johnson,1919-02-10,American
veith,Bob,Veith,1926-11-01,American
christie,Bob,Christie,1924-04-04,American
amick,Red,Amick,1929-01-19,American
darter,Duane,Carter,1913-05-05,American
homeier,Bill,Homeier,1918-08-31,American
hartley,Gene,Hartley,1926-01-28,American
stevenson,Chuck,Stevenson,1919-10-15,American
grim,Bobby,Grim,1924-09-04,American
templeman,Shorty,Templeman,1919-08-12,American
bryan,Jimmy,Bryan,1926-01-28,American
ruttman,Troy,Ruttman,1930-03-11,American
sachs,Eddie,Sachs,1927-05-28,American
freeland,Don,Freeland,1925-03-25,American
bettenhausen,Tony,Bettenhausen,1916-09-12,American
foyt,Anthony,Foyt,1935-01-16,American
russo,Eddie,Russo,1925-11-19,American
boyd,Johnny,Boyd,1926-08-19,American
force,Gene,Force,1916-06-15,American
mcwithey,Jim,McWithey,1927-07-04,American
sutton,Len,Sutton,1925-08-09,American
dick_rathmann,Dick,Rathmann,1924-01-06,American
herman,Al,Herman,1927-03-15,American
dempsey_wilson,Dempsey,Wilson,1927-03-11,American
mike_taylor,Mike,Taylor,1934-04-24,British
flockhart,Ron,Flockhart,1923-06-16,British
piper,David,Piper,1930-12-02,British
cabianca,Giulio,Cabianca,1923-02-19,Italian
gould,Horace,Gould,1918-09-20,British
bueb,Ivor,Bueb,1923-06-06,British
Changy,Alain,de Changy,1922-02-05,Belgian
filippis,Maria,de Filippis,1926-11-11,Italian
lucienbonnet,Jean,Lucienbonnet,1923-01-07,French
testut,André,Testut,1926-04-13,Monegasque
behra,Jean,Behra,1921-02-16,French
paul_russo,Paul,Russo,1914-04-10,American
daywalt,Jimmy,Daywalt,1924-08-28,American
arnold,Chuck,Arnold,1926-05-30,American
keller,Al,Keller,1920-04-11,American
flaherty,Pat,Flaherty,1926-01-06,American
cheesbourg,Bill,Cheesbourg,1927-06-12,American
ray_crawford,Ray,Crawford,1915-10-26,American
turner,Jack,Turner,1920-02-12,American
weyant,Chuck,Weyant,1923-04-03,American
larson,Jud,Larson,1923-01-21,American
magill,Mike,Magill,1920-02-08,American
shelby,Carroll,Shelby,1923-01-11,American
